ID_LESION;LESION;JUGADOR;TIEMPO_RECUPERACION
1;Esguince de tobillo - Lionel Messi - 21 días;Lionel Messi;21 días
2;Lesión muscular - Neymar Jr - 10 días;Neymar Jr;10 días
3;Rotura de ligamentos - Eden Hazard - 6 meses;Eden Hazard;6 meses
4;Fractura de pierna - Hector Bellerin - 8 meses;Hector Bellerin;8 meses
5;Esguince de rodilla - Sergio Ramos - 1 mes;Sergio Ramos;1 mes
6;Lesión en la espalda - Kylian Mbappe - 2 semanas;Kylian Mbappe;2 semanas
7;Pubalgia - Luis Suarez - 4 semanas;Luis Suarez;4 semanas
8;Lesión en el hombro - Kevin De Bruyne - 3 semanas;Kevin De Bruyne;3 semanas
9;Lesión en la muñeca - Marco Asensio - 2 semanas;Marco Asensio;2 semanas
10;Distensión de ligamentos - Paulo Dybala - 4 semanas;Paulo Dybala;4 semanas
